epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,105.968,3.50416,6.449,19.436,0.01762,6.81981,0.68484,0.03218,0.04905,0.01917,0.68836,0.0163,0.02428,0.00843,3.22534,5.75721,18.943,0.01834,0,0.000282942,0.000282942,0.000282942
2,170.851,3.01738,5.20672,15.6638,0.01449,3.10852,0.32458,0.28586,0.19863,0.07297,0.28321,0.25175,0.15658,0.04561,2.88222,4.7259,16.5834,0.01575,0,0.000568459,0.000568459,0.000568459
3,234.108,2.87013,4.74312,13.5309,0.01338,2.42969,0.34785,0.33723,0.26738,0.11048,0.32963,0.29184,0.21435,0.0726,2.69481,4.38258,13.9239,0.01453,0,0.000852839,0.000852839,0.000852839
4,297.771,2.82436,4.55041,12.7662,0.01285,2.04698,0.35848,0.40237,0.30449,0.1177,0.33868,0.35402,0.25498,0.07847,2.67326,4.21489,13.9992,0.0145,0,0.00113523,0.00113523,0.00113523
5,361.791,2.74416,4.38306,12.3154,0.01271,1.84466,0.42319,0.37499,0.34242,0.13915,0.3885,0.33817,0.28747,0.09786,2.6317,4.01057,12.7407,0.01412,0,0.0014148,0.0014148,0.0014148
6,424.419,2.73856,4.26405,11.9594,0.01273,1.70334,0.39708,0.38473,0.33168,0.14172,0.37767,0.33544,0.28507,0.09573,2.6481,3.93118,12.2925,0.01429,0,0.00141127,0.00141127,0.00141127
7,487.906,2.7004,4.19747,11.6524,0.01262,1.61961,0.4362,0.40082,0.34277,0.13336,0.39214,0.35838,0.27245,0.0849,2.61804,3.95166,12.6434,0.0148,0,0.00140351,0.00140351,0.00140351
8,550.704,2.68912,4.12237,11.3513,0.01227,1.56431,0.4698,0.41602,0.39616,0.17517,0.45657,0.37345,0.34684,0.12685,2.58489,3.77424,11.4087,0.01356,0,0.00139438,0.00139438,0.00139438
9,614.658,2.6864,4.1041,11.1935,0.01258,1.54586,0.46808,0.42525,0.39365,0.17384,0.4419,0.38443,0.33407,0.11713,2.59058,3.73065,11.3287,0.01364,0,0.0013839,0.0013839,0.0013839
10,679.287,2.65355,4.02041,10.8779,0.01197,1.41254,0.45354,0.45559,0.39794,0.17329,0.43168,0.41743,0.34765,0.12117,2.51702,3.65129,10.958,0.014,0,0.00137208,0.00137208,0.00137208
11,742.622,2.65877,4.00385,10.7668,0.01192,1.41468,0.47281,0.44156,0.41194,0.18152,0.45237,0.39761,0.35437,0.12956,2.59519,3.66763,10.8915,0.01422,0,0.00135895,0.00135895,0.00135895
12,806.002,2.5883,3.89469,10.4858,0.01195,1.41748,0.50024,0.46097,0.4478,0.20582,0.4845,0.40784,0.38814,0.13742,2.4519,3.59172,10.6217,0.01281,0,0.00134454,0.00134454,0.00134454
13,868.734,2.59343,3.88683,10.4207,0.01176,1.38243,0.51243,0.4598,0.46206,0.21772,0.47972,0.40818,0.39113,0.14278,2.44822,3.59893,10.2951,0.01269,0,0.00132887,0.00132887,0.00132887
14,931.166,2.5671,3.82075,10.2526,0.01168,1.31813,0.51625,0.44631,0.44248,0.19918,0.491,0.41058,0.38696,0.14102,2.50731,3.5294,10.4783,0.01322,0,0.00131198,0.00131198,0.00131198
15,993.894,2.57562,3.83459,10.0366,0.01164,1.30348,0.50842,0.46498,0.44606,0.19502,0.49293,0.41166,0.3802,0.13311,2.49688,3.54112,10.4229,0.01376,0,0.00129391,0.00129391,0.00129391
16,1057.66,2.60131,3.84086,10.0297,0.01127,1.30739,0.52506,0.46983,0.46151,0.21661,0.49549,0.4282,0.40375,0.14873,2.47534,3.4891,10.1335,0.01276,0,0.00127468,0.00127468,0.00127468
17,1121.52,2.52432,3.73746,9.92544,0.01147,1.29358,0.52074,0.46944,0.4567,0.21117,0.49544,0.44171,0.40538,0.15087,2.47224,3.48983,10.6595,0.01299,0,0.00125433,0.00125433,0.00125433
18,1185.09,2.57033,3.78281,9.86231,0.01126,1.26548,0.53791,0.48221,0.47333,0.22217,0.5047,0.44182,0.41372,0.15273,2.46095,3.43543,9.94999,0.01279,0,0.00123292,0.00123292,0.00123292
19,1249.02,2.54549,3.75777,9.78251,0.01107,1.2761,0.54865,0.46861,0.47769,0.22595,0.52333,0.43245,0.42091,0.15454,2.41444,3.44892,9.90048,0.01238,0,0.00121047,0.00121047,0.00121047
20,1312.77,2.52925,3.69439,9.65364,0.01097,1.22399,0.53896,0.48187,0.48153,0.2274,0.53591,0.42928,0.42598,0.15472,2.42986,3.41949,9.74933,0.01291,0,0.00118704,0.00118704,0.00118704
21,1375.19,2.48976,3.6707,9.7121,0.01113,1.23603,0.5648,0.48378,0.49808,0.24266,0.53281,0.4488,0.44392,0.16445,2.35305,3.41036,9.73123,0.01172,0,0.00116267,0.00116267,0.00116267
22,1439.26,2.52028,3.69636,9.56561,0.01093,1.24461,0.56352,0.48539,0.49744,0.2418,0.54285,0.44479,0.43807,0.16598,2.39727,3.39099,9.98389,0.01222,0,0.00113742,0.00113742,0.00113742
23,1502.36,2.52555,3.68114,9.50796,0.01073,1.22367,0.57002,0.49579,0.5101,0.24912,0.54528,0.44422,0.44472,0.1696,2.35786,3.32395,9.47814,0.01186,0,0.00111132,0.00111132,0.00111132
24,1565.39,2.50715,3.65599,9.45613,0.01085,1.20741,0.57385,0.49766,0.51154,0.25193,0.54966,0.45835,0.45561,0.17684,2.36417,3.32541,9.48051,0.01194,0,0.00108445,0.00108445,0.00108445
25,1626.85,2.44516,3.58212,9.30867,0.0108,1.21244,0.56373,0.49542,0.50324,0.24529,0.55632,0.4621,0.45759,0.17728,2.39151,3.27391,9.63272,0.01214,0,0.00105684,0.00105684,0.00105684
26,1690.98,2.49552,3.62407,9.31597,0.01071,1.24224,0.57145,0.4888,0.51025,0.24667,0.55019,0.46289,0.46737,0.17945,2.40317,3.28439,9.27445,0.01202,0,0.00102855,0.00102855,0.00102855
27,1754.81,2.49331,3.61327,9.28725,0.01066,1.19257,0.56849,0.49239,0.51473,0.25712,0.55488,0.4512,0.45708,0.17737,2.36139,3.27435,9.28045,0.01189,0,0.000999653,0.000999653,0.000999653
28,1819.04,2.46024,3.59227,9.21647,0.01054,1.18107,0.56376,0.50491,0.50994,0.24925,0.55011,0.45696,0.45204,0.16916,2.38499,3.27108,9.338,0.01226,0,0.000970192,0.000970192,0.000970192
29,1881.78,2.43904,3.56135,9.12316,0.01062,1.15755,0.56948,0.49554,0.5064,0.25129,0.56005,0.46879,0.46693,0.17812,2.38382,3.28669,9.32224,0.01208,0,0.00094023,0.00094023,0.00094023
30,1946.34,2.45092,3.59844,9.12576,0.01059,1.18045,0.57568,0.50368,0.51828,0.25522,0.54368,0.46795,0.46224,0.18012,2.37581,3.28944,9.36108,0.01208,0,0.000909827,0.000909827,0.000909827
31,2010.12,2.44104,3.5345,9.07677,0.01061,1.17426,0.5781,0.51035,0.52699,0.25708,0.56056,0.47463,0.47599,0.18271,2.3562,3.2547,9.2705,0.01183,0,0.000879046,0.000879046,0.000879046
32,2073.86,2.42874,3.52534,9.00142,0.01038,1.17078,0.6027,0.49808,0.53234,0.26518,0.58345,0.46945,0.48332,0.18745,2.32252,3.20138,8.99223,0.01167,0,0.000847948,0.000847948,0.000847948
33,2138.32,2.44679,3.55381,9.03422,0.01018,1.20355,0.58929,0.50482,0.53685,0.2709,0.57117,0.46858,0.48262,0.18898,2.33565,3.22513,8.99407,0.0115,0,0.000816596,0.000816596,0.000816596
